ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
23607,Q9Y5K6,CD2AP,4,Microvesicles
23646,Q8IV08,PLD3,3,Microvesicles
23670,Q9UHN6,TMEM2,11,Microvesicles
23677,Q9P0V3,SH3BP4,8,Microvesicles
25796,O95336,PGLS,25,Microvesicles
25801,P28676,GCA,8,Microparticles
25813,Q9Y512,SAMM50,5,Microparticles
25824,P30044,PRDX5,25,Microvesicles
25836,Q6KC79,NIPBL,4,Microparticles
25878,Q9NR99,MXRA5,1,Microparticles
25930,Q9H3S7,PTPN23,6,Microvesicles
25932,Q9Y696,CLIC4,28,Microvesicles
25978,Q9UQN3,CHMP2B,3,Microvesicles
26007,Q3LXA3,DAK,12,Microvesicles
26060,Q9UKG1,APPL1,1,Microvesicles
26227,O43175,PHGDH,22,Microvesicles
26251,Q9UJ96,KCNG2,1,Microvesicles
26509,Q9NZM1,MYOF,12,Microvesicles
26999,Q96F07,CYFIP2,10,Microvesicles
27069,Q9H3K2,GHITM,2,Microvesicles
27111,Q9H190,SDCBP2,5,Microvesicles
27243,O43633,CHMP2A,5,Microvesicles
27293,Q92485,SMPDL3B,2,Microvesicles
28970,Q9H0W9,C11orf54,3,Microvesicles
28988,Q9UJU6,DBNL,14,Microparticles
29028,Q6PL18,ATAD2,2,Microparticles
29085,Q9NRX4,PHPT1,6,Microvesicles
29763,Q9UKS6,PACSIN3,10,Microvesicles
29789,Q9NTK5,OLA1,9,Microparticles
29968,Q9Y617,PSAT1,9,Microvesicles
30844,Q9H223,EHD4,26,Microvesicles
30846,Q9NZN4,EHD2,15,Microvesicles
30851,O14907,TAX1BP3,7,Microvesicles
50488,Q8N4C8,MINK1,10,Microvesicles
50618,Q9NZM3,ITSN2,2,Microvesicles
50628,P57678,GEMIN4,2,Microvesicles
50865,Q9NRV9,HEBP1,12,Microvesicles
51028,Q86VN1,VPS36,3,Microvesicles
51056,P28838,LAP3,19,Microvesicles
51084,Q9Y2S2,CRYL1,3,Microvesicles
51125,Q7Z5G4,GOLGA7,12,Microvesicles
51160,Q9UK41,VPS28,5,Microvesicles
51181,Q7Z4W1,DCXR,13,Microparticles
51382,Q9Y5K8,ATP6V1D,4,Microvesicles
51429,Q9Y5X1,SNX9,11,Microvesicles
51449,Q9UHG3,PCYOX1,8,Microparticles
51458,Q9UBD6,RHCG,2,Microparticles
51479,Q9P2R3,ANKFY1,7,Microvesicles
51506,Q9Y3C8,UFC1,4,Microvesicles
51510,Q9NZZ3,CHMP5,10,Microvesicles
51534,Q9NP79,VTA1,6,Microvesicles
51571,Q9NUQ9,FAM49B,18,Microvesicles
51596,O60888,CUTA,6,Microvesicles
51606,Q9UI12,ATP6V1H,10,Microvesicles
51704,Q9NZH0,GPRC5B,1,Microvesicles
51719,Q9Y376,CAB39,11,Microvesicles
51727,P30085,CMPK1,15,Microparticles
53405,Q9NZA1,CLIC5,7,Microvesicles
53841,Q9HBB8,CDHR5,2,Microvesicles
54102,Q96NY7,CLIC6,2,Microvesicles
54414,Q9HAT2,SIAE,2,Microvesicles
54472,Q9H0E2,TOLLIP,11,Microparticles
54504,Q9H3G5,CPVL,4,Microvesicles
54509,Q9HBH0,RHOF,6,Microvesicles
54587,Q9BRK3,MXRA8,2,Microparticles
54622,Q9NXU5,ARL15,2,Microvesicles
54832,Q709C8,VPS13C,8,Microparticles
54862,Q6P1N0,CC2D1A,5,Microvesicles
54869,Q8TE68,EPS8L1,6,Microvesicles
54927,Q9NX63,CHCHD3,12,Microvesicles
55004,Q6IAA8,LAMTOR1,9,Microparticles
55075,Q9BZF9,UACA,5,Microparticles
55187,Q5THJ4,VPS13D,4,Microvesicles
55198,Q8NEU8,APPL2,9,Microvesicles
55207,Q9NVJ2,ARL8B,14,Microparticles
55293,Q8IX04,UEVLD,4,Microvesicles
55308,Q9NUU7,DDX19A,8,Microvesicles
55600,Q8WWA0,ITLN1,1,Microparticles
