ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES
8803,Q9P2R7,SUCLA2,18
8836,Q92820,GGH,73
8842,O43490,PROM1,78
8857,Q9Y6R7,FCGBP,61
8858,P22891,PROZ,8
8878,Q13501,SQSTM1,71
8907,Q9BXS5,AP1M1,44
8934,O14966,RAB7L1,23
8976,O00401,WASL,38
8985,O60568,PLOD3,84
8991,Q13228,SELENBP1,69
8993,O75594,PGLYRP1,7
8997,O60229,KALRN,11
9022,O95833,CLIC3,29
9031,Q9UIG0,BAZ1B,28
9043,O60271,SPAG9,45
9052,Q8NFJ5,GPRC5A,80
9058,Q13183,SLC13A2,15
9114,P61421,ATP6V0D1,89
9146,O14964,HGS,57
9179,O00189,AP4M1,1
9296,Q16864,ATP6V1F,33
9317,Q96BW5,PTER,40
9322,Q15642,TRIP10,42
9351,Q15599,SLC9A3R2,61
9353,O94813,SLIT2,28
9356,Q4U2R8,SLC22A6,5
9365,Q9UEF7,KL,12
9368,O14745,SLC9A3R1,112
9371,O15066,KIF3B,27
9376,Q8TCC7,SLC22A8,8
9380,Q9UBQ7,GRHPR,77
9390,Q9Y226,SLC22A13,27
9407,O60235,TMPRSS11D,3
9445,Q9Y287,ITM2B,42
9446,P78417,GSTO1,119
9476,O96009,NAPSA,23
9525,O75351,VPS4B,105
9528,Q9BXS4,TMEM59,32
9545,O95716,RAB3D,77
9550,O75348,ATP6V1G1,50
9578,Q9Y5S2,CDC42BPB,54
9586,Q02930,CREB5,3
9696,Q5TZA2,CROCC,28
9704,Q14147,DHX34,1
9725,O94886,TMEM63A,38
9748,Q9H2G2,SLK,75
9798,P53990,IST1,138
9853,Q8N2Y8,RUSC2,3
9943,O95747,OXSR1,86
