ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,UNIPROT ID
951,CD37,37,Microparticles,P11049
963,CD53,43,Microparticles,P19397
1072,CFL1,225,Microparticles,P23528
1192,CLIC1,213,Microparticles,O00299
1213,CLTC,245,Microparticles,Q00610
1267,CNP,167,Microparticles,P09543
1314,COPA,114,Microparticles,P53621
1315,COPB1,110,Microparticles,P53618
1431,CS,88,Microparticles,O75390
1434,CSE1L,118,Microparticles,P55060
1445,CSK,64,Microparticles,P41240
1459,CSNK2A2,47,Microparticles,P19784
1606,DGKA,25,Microparticles,P23743
1639,DCTN1,79,Microparticles,Q14203
1653,DDX1,53,Microparticles,Q92499
1660,DHX9,118,Microparticles,Q08211
1665,DHX15,61,Microparticles,O43143
1666,DECR1,42,Microparticles,Q16698
1674,DES,47,Microparticles,P17661
1729,DIAPH1,87,Microparticles,O60610
1778,DYNC1H1,152,Microparticles,Q14204
1785,DNM2,88,Microparticles,P50570
1808,DPYSL2,121,Microparticles,Q16555
1892,ECHS1,53,Microparticles,P30084
1915,EEF1A1,235,Microparticles,P68104
1936,EEF1D,113,Microparticles,P29692
1937,EEF1G,165,Microparticles,P26641
1938,EEF2,228,Microparticles,P13639
1973,EIF4A1,173,Microparticles,P60842
1992,SERPINB1,88,Microparticles,P30740
2023,ENO1,261,Microparticles,P06733
2035,EPB41,61,Microparticles,P11171
2108,ETFA,65,Microparticles,P13804
2193,FARSA,78,Microparticles,Q9Y285
2268,FGR,22,Microparticles,P09769
2288,FKBP4,103,Microparticles,Q02790
2314,FLII,84,Microparticles,Q13045
2316,FLNA,192,Microparticles,P21333
2317,FLNB,156,Microparticles,O75369
2318,FLNC,96,Microparticles,Q14315
2319,FLOT2,176,Microparticles,Q14254
2495,FTH1,106,Microparticles,P02794
2539,G6PD,138,Microparticles,P11413
2547,XRCC6,125,Microparticles,P12956
2597,GAPDH,268,Microparticles,P04406
2618,GART,95,Microparticles,P22102
2665,GDI2,182,Microparticles,P50395
2729,GCLC,39,Microparticles,P48506
2739,GLO1,109,Microparticles,Q04760
2746,GLUD1,59,Microparticles,P00367
2747,GLUD2,26,Microparticles,P49448
2771,GNAI2,210,Microparticles,P04899
2773,GNAI3,155,Microparticles,P08754
2774,GNAL,29,Microparticles,P38405
2778,GNAS,186,Microparticles,O95467
2782,GNB1,221,Microparticles,P62873
2806,GOT2,56,Microparticles,P00505
2821,GPI,198,Microparticles,P06744
2885,GRB2,89,Microparticles,P62993
2936,GSR,86,Microparticles,P00390
2950,GSTP1,143,Microparticles,P09211
3030,HADHA,67,Microparticles,P40939
3064,HTT,40,Microparticles,P42858
3071,NCKAP1L,56,Microparticles,P55160
3105,HLA-A,191,Microparticles,P04439
3106,HLA-B,107,Microparticles,P01889
3107,HLA-C,92,Microparticles,P10321
