ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,Uniprot
2561,GABRB2,2,Exosomes,P47870
2584,GALK1,13,Exosomes,P51570
2632,GBE1,19,Exosomes,Q04446
2658,GDF2,1,Exosomes,Q9UK05
2674,GFRA1,1,Exosomes,P56159
2683,B4GALT1,13,Exosomes,P15291
2712,GK2,3,Exosomes,Q14410
2720,GLB1,18,Exosomes,P16278
2734,GLG1,26,Exosomes,Q92896
2752,GLUL,5,Exosomes,P15104
2760,GM2A,11,Exosomes,P17900
2767,GNA11,44,Exosomes,P29992
2770,GNAI1,42,Exosomes,P63096
2776,GNAQ,53,Exosomes,P50148
2787,GNG5,20,Exosomes,P63218
2788,GNG7,10,Exosomes,O60262
2805,GOT1,42,Exosomes,P17174
2810,SFN,54,Exosomes,P31947
2819,GPD1,9,Exosomes,P21695
2823,GPM6A,3,Exosomes,P51674
2875,GPT,3,Exosomes,P24298
2879,GPX4,13,Exosomes,P36969
2894,GRID1,3,Exosomes,Q9ULK0
2934,GSN,73,Exosomes,P06396
2937,GSS,26,Exosomes,P48637
2938,GSTA1,23,Exosomes,P08263
2946,GSTM2,15,Exosomes,P28161
2990,GUSB,6,Exosomes,P08236
3043,HBB,70,Exosomes,P68871
3075,CFH,16,Exosomes,P08603
3081,HGD,13,Exosomes,Q93099
3094,HINT1,26,Exosomes,P49773
3176,HNMT,2,Exosomes,P50135
3191,HNRNPL,32,Exosomes,P14866
